report_version,1.0
repo_relative_path,entity_type,original_value,masked_value,start_offset,end_offset
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,SECRET_KEY,super-secret,SCRAMBLE_SECRET_KEY_000002,163,175
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,JWT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiaWNpY2kIiwicm9sZSI6ImFkbWluIn0.SIGNATURETOKEN1234567890ABCDEF,SCRAMBLE_JWT_000002,209,319
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000006,330,338
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000007,364,372
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000008,398,406
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000009,432,440
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000010,466,474
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000004,499,527
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000005,552,580
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000006,605,633
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000007,658,686
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000008,711,739
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PRIVATE_KEY,"-----BEGIN PRIVATE KEY-----
MIIEvQIBADANBgkqhkiG9w0BAQEFAASCBKcwggSjAgEAAoIBAQCiciciTestOnly
0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF
-----END PRIVATE KEY-----",SCRAMBLE_PRIVATE_KEY_000001,757,940
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PRIVATE_KEY,"-----BEGIN RSA PRIVATE KEY-----
MIIEowIBAAKCAQEAiciciBankLoanPlatformTestKeyPlaceholderOnlyNotReal
0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF
0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF
-----END RSA PRIVATE KEY-----",SCRAMBLE_PRIVATE_KEY_000002,942,1200
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000006,0,5
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,URL,https://internal.icici.com/loan-api/v1,SCRAMBLE_URL_000004,89,127
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,JWT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiaWNpY2k11Iiwicm9sZSI6ImFkbWluIn0.SIGNATURE11TOKEN1234567890ABCDEF,SCRAMBLE_JWT_000003,177,291
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,EMAIL,duplicate.test@icici.com,SCRAMBLE_EMAIL_000003,479,503
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,PHONE,91-9876500000,SCRAMBLE_PHONE_000001,519,532
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,PHONE,101111111111,SCRAMBLE_PHONE_000002,572,584
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,IFSC,ICIC0001234,SCRAMBLE_IFSC_000001,598,609
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,EMAIL,customer031@icicibank.com,SCRAMBLE_EMAIL_000004,904,929
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,EMAIL,customer032@customer.in,SCRAMBLE_EMAIL_000005,938,961
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,EMAIL,customer033@loans.icici.internal,SCRAMBLE_EMAIL_000006,987,1019
ICICI-BANK-LOAN-PLATFORM/docs/api-documentation.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000007,1053,1058
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000008,0,5
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,ICICIBANK,SCRAMBLE_COMPANY_BRAND_000009,115,124
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,ICICILABS,SCRAMBLE_COMPANY_BRAND_000010,146,155
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,FXTP,SCRAMBLE_COMPANY_BRAND_000011,175,179
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,WECARE,SCRAMBLE_COMPANY_BRAND_000012,199,205
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,SCRAMBLE,SCRAMBLE_COMPANY_BRAND_000013,247,255
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,URL,https://internal.icici.com/loan-api/v1,SCRAMBLE_URL_000005,296,334
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,URL,https://auth.icici.internal,SCRAMBLE_URL_000006,353,380
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,DATABASE_URL,jdbc:postgresql://db.icici.internal:5432/loan,SCRAMBLE_DATABASE_URL_000004,395,440
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,IP_ADDRESS,10.20.30.41,SCRAMBLE_IP_ADDRESS_000003,460,471
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000014,501,506
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,IP_ADDRESS,192.168.1.10,SCRAMBLE_IP_ADDRESS_000004,548,560
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,IP_ADDRESS,10.20.30.40,SCRAMBLE_IP_ADDRESS_000005,578,589
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,IP_ADDRESS,10.20.30.41,SCRAMBLE_IP_ADDRESS_000006,591,602
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,URL,http://10.20.30.50,SCRAMBLE_URL_000007,616,634
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,PASSWORD,admin123,SCRAMBLE_PASSWORD_000011,844,852
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000009,863,891
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,JWT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiaWNpY2kIiwicm9sZSI6ImFkbWluIn0.SIGNATURETOKEN1234567890ABCDEF,SCRAMBLE_JWT_000004,904,1014
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000015,1032,1037
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,Icici,SCRAMBLE_COMPANY_BRAND_000016,1039,1044
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,iCiCi,SCRAMBLE_COMPANY_BRAND_000017,1046,1051
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,ICICIBANK,SCRAMBLE_COMPANY_BRAND_000018,1053,1062
ICICI-BANK-LOAN-PLATFORM/docs/architecture.txt,COMPANY_BRAND,ICICILABS,SCRAMBLE_COMPANY_BRAND_000019,1064,1073
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,duplicate.test@icici.com,SCRAMBLE_EMAIL_000007,106,130
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,customer002@customer.in,SCRAMBLE_EMAIL_000008,132,155
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,customer003@loans.icici.internal,SCRAMBLE_EMAIL_000009,157,189
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,91-9876500000,SCRAMBLE_PHONE_000003,201,214
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,91-9876500001,SCRAMBLE_PHONE_000004,217,230
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,91-9876500002,SCRAMBLE_PHONE_000005,233,246
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,customer004@gmail.com,SCRAMBLE_EMAIL_000010,276,297
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,91-9876500003,SCRAMBLE_PHONE_000006,312,325
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PAN,EFGHI1004J,SCRAMBLE_PAN_000001,334,344
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000020,406,411
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,customer005@icici.com,SCRAMBLE_EMAIL_000011,451,472
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,duplicate.test@icici.com,SCRAMBLE_EMAIL_000012,500,524
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,tcustomer006@icicibank.com,SCRAMBLE_EMAIL_000013,590,616
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,duplicate.test@icici.com,SCRAMBLE_EMAIL_000014,728,752
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,91-9876500006,SCRAMBLE_PHONE_000007,768,781
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,IFSC,ICIC0001234,SCRAMBLE_IFSC_000002,818,829
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000021,859,864
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,123456789012,SCRAMBLE_PHONE_000008,886,898
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,CREDIT_CARD,4111111111111111,SCRAMBLE_CREDIT_CARD_000001,919,935
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,CREDIT_CARD,5500000000000004,SCRAMBLE_CREDIT_CARD_000002,955,971
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,987654321098,SCRAMBLE_PHONE_000009,1025,1037
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000022,1065,1070
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,20240615-001,SCRAMBLE_PHONE_000010,1071,1083
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,customer008@loans.icici.internal,SCRAMBLE_EMAIL_000015,1225,1257
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,91-9876500007,SCRAMBLE_PHONE_000011,1267,1280
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PAN,GHIJK1006L,SCRAMBLE_PAN_000002,1287,1297
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,IFSC,ICIC0001234,SCRAMBLE_IFSC_000003,1305,1316
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,AADHAAR,111122223333,SCRAMBLE_AADHAAR_000001,1366,1378
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000023,1425,1430
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,customer009@gmail.com,SCRAMBLE_EMAIL_000016,1472,1493
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,DATABASE_URL,jdbc:postgresql://db.icici.internal:5432/loan,SCRAMBLE_DATABASE_URL_000005,1525,1570
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,IP_ADDRESS,10.20.30.40,SCRAMBLE_IP_ADDRESS_000007,1576,1587
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PASSWORD,admin123,SCRAMBLE_PASSWORD_000012,1597,1605
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000010,1614,1642
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,123456789012,SCRAMBLE_PHONE_000012,2229,2241
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000024,2411,2416
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000025,2425,2430
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,EMAIL,duplicate.test@icici.com,SCRAMBLE_EMAIL_000017,2432,2456
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,123456789012,SCRAMBLE_PHONE_000013,2505,2517
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PHONE,987654321098,SCRAMBLE_PHONE_000014,2519,2531
ICICI-BANK-LOAN-PLATFORM/docs/edge-cases.txt,PRIVATE_KEY,"-----BEGIN PRIVATE KEY-----
MIIEvQIBADANBgkqhkiG9w0BAQEFAASCBKcwggSjAgEAAoIBAQCiciciTestOnly
0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF
-----END PRIVATE KEY-----",SCRAMBLE_PRIVATE_KEY_000003,2533,2716
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000026,27,32
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,COMPANY_BRAND,ICICIBANK,SCRAMBLE_COMPANY_BRAND_000027,106,115
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,URL,https://internal.icici.com/loan-api/v1/access,SCRAMBLE_URL_000008,180,225
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,IP_ADDRESS,10.20.30.40,SCRAMBLE_IP_ADDRESS_000008,248,259
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,EMAIL,customer034@gmail.com,SCRAMBLE_EMAIL_000018,341,362
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,PHONE,91-9876500033,SCRAMBLE_PHONE_000015,367,380
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,URL,https://internal.icici.com,SCRAMBLE_URL_000009,402,428
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,URL,http://10.20.30.40:8080,SCRAMBLE_URL_000010,433,456
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,DATABASE_URL,jdbc:mysql://localhost:3306/customer,SCRAMBLE_DATABASE_URL_000006,461,497
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,IFSC,HDFC0100006,SCRAMBLE_IFSC_000004,551,562
ICICI-BANK-LOAN-PLATFORM/docs/onboarding.txt,PASSWORD,secret123,SCRAMBLE_PASSWORD_000013,631,640
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,duplicate.test@icici.com,SCRAMBLE_EMAIL_000019,54,78
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500000,SCRAMBLE_PHONE_000016,86,99
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,ICIC0001234,SCRAMBLE_IFSC_000005,120,131
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer002@customer.in,SCRAMBLE_EMAIL_000020,186,209
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500001,SCRAMBLE_PHONE_000017,217,230
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,SBIN0100002,SCRAMBLE_IFSC_000006,251,262
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer003@loans.icici.internal,SCRAMBLE_EMAIL_000021,317,349
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500002,SCRAMBLE_PHONE_000018,357,370
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,CDEFG1002H,SCRAMBLE_PAN_000003,375,385
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,AXIS0100003,SCRAMBLE_IFSC_000007,391,402
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer004@gmail.com,SCRAMBLE_EMAIL_000022,457,478
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500003,SCRAMBLE_PHONE_000019,486,499
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,DEFGH1003I,SCRAMBLE_PAN_000004,504,514
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,KKBK0100004,SCRAMBLE_IFSC_000008,520,531
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer005@icici.com,SCRAMBLE_EMAIL_000023,586,607
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500004,SCRAMBLE_PHONE_000020,615,628
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,EFGHI1004J,SCRAMBLE_PAN_000005,633,643
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,ICIC0100005,SCRAMBLE_IFSC_000009,649,660
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer006@icicibank.com,SCRAMBLE_EMAIL_000024,715,740
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500005,SCRAMBLE_PHONE_000021,748,761
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,HDFC0100006,SCRAMBLE_IFSC_000010,782,793
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer007@customer.in,SCRAMBLE_EMAIL_000025,848,871
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500006,SCRAMBLE_PHONE_000022,879,892
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,GHIJK1006L,SCRAMBLE_PAN_000006,897,907
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,SBIN0100007,SCRAMBLE_IFSC_000011,913,924
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer008@loans.icici.internal,SCRAMBLE_EMAIL_000026,979,1011
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500007,SCRAMBLE_PHONE_000023,1019,1032
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,AXIS0100008,SCRAMBLE_IFSC_000012,1053,1064
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer009@gmail.com,SCRAMBLE_EMAIL_000027,1119,1140
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500008,SCRAMBLE_PHONE_000024,1148,1161
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,IJKLM1008N,SCRAMBLE_PAN_000007,1166,1176
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,KKBK0100009,SCRAMBLE_IFSC_000013,1182,1193
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer010@icici.com,SCRAMBLE_EMAIL_000028,1248,1269
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500009,SCRAMBLE_PHONE_000025,1277,1290
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,ICIC0100010,SCRAMBLE_IFSC_000014,1311,1322
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer011@icicibank.com,SCRAMBLE_EMAIL_000029,1377,1402
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500010,SCRAMBLE_PHONE_000026,1410,1423
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,HDFC0100011,SCRAMBLE_IFSC_000015,1444,1455
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer012@customer.in,SCRAMBLE_EMAIL_000030,1510,1533
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500011,SCRAMBLE_PHONE_000027,1541,1554
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,SBIN0100012,SCRAMBLE_IFSC_000016,1575,1586
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer013@loans.icici.internal,SCRAMBLE_EMAIL_000031,1641,1673
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500012,SCRAMBLE_PHONE_000028,1681,1694
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,MNOPQ1012R,SCRAMBLE_PAN_000008,1699,1709
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,AXIS0100013,SCRAMBLE_IFSC_000017,1715,1726
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer014@gmail.com,SCRAMBLE_EMAIL_000032,1781,1802
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500013,SCRAMBLE_PHONE_000029,1810,1823
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,KKBK0100014,SCRAMBLE_IFSC_000018,1844,1855
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer015@icici.com,SCRAMBLE_EMAIL_000033,1910,1931
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500014,SCRAMBLE_PHONE_000030,1939,1952
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,ICIC0100015,SCRAMBLE_IFSC_000019,1973,1984
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer016@icicibank.com,SCRAMBLE_EMAIL_000034,2039,2064
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500015,SCRAMBLE_PHONE_000031,2072,2085
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,ICIC0001234,SCRAMBLE_IFSC_000020,2106,2117
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer017@customer.in,SCRAMBLE_EMAIL_000035,2172,2195
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500016,SCRAMBLE_PHONE_000032,2203,2216
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PAN,QRSTU1016V,SCRAMBLE_PAN_000009,2221,2231
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,SBIN0100002,SCRAMBLE_IFSC_000021,2237,2248
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer018@loans.icici.internal,SCRAMBLE_EMAIL_000036,2303,2335
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500017,SCRAMBLE_PHONE_000033,2343,2356
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,AXIS0100003,SCRAMBLE_IFSC_000022,2377,2388
ICICI-BANK-LOAN-PLATFORM/logs/application.log,EMAIL,customer019@gmail.com,SCRAMBLE_EMAIL_000037,2443,2464
ICICI-BANK-LOAN-PLATFORM/logs/application.log,PHONE,91-9876500018,SCRAMBLE_PHONE_000034,2472,2485
ICICI-BANK-LOAN-PLATFORM/logs/application.log,IFSC,KKBK0100004,SCRAMBLE_IFSC_000023,2506,2517
